word,phrase_type,level,official_write,training_include,write_priority,level_label,topic,pos,special_type,source
a.m. (for time),phrase,A2 Flyers,no,yes,special,特殊（special）,time,phrase,time,Cambridge 2025 PDF
across,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
act,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
actor,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
actually,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
adventure,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
after,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
ago,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
agree,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
air,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
airport,word,A2 Flyers,no,yes,extended,扩展（extended）,places,mixed,,Cambridge 2025 PDF
alone,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
already,word,A2 Flyers,no,no,extended,扩展（extended）,general,adverb,,Cambridge 2025 PDF
also,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
amazing,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
ambulance,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
anyone,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
anything,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
anywhere,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
appear,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
April,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
arrive,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
art,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
artist,word,A2 Flyers,no,yes,core,核心（core）,people,mixed,,Cambridge 2025 PDF
as,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
as ... as,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
astronaut,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
at the moment,phrase,A2 Flyers,no,yes,special,特殊（special）,time,phrase,time,Cambridge 2025 PDF
August,word,A2 Flyers,no,yes,special,特殊（special）,time,mixed,month,Cambridge 2025 PDF
autumn (US fall),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
away,word,A2 Flyers,no,yes,core,核心（core）,general,adverb,,Cambridge 2025 PDF
backpack (UK rucksack),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,travel,phrase,,Cambridge 2025 PDF
bandage,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
bank,word,A2 Flyers,no,yes,core,核心（core）,places,mixed,,Cambridge 2025 PDF
beetle,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
before,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
begin,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
believe,word,A2 Flyers,no,no,extended,扩展（extended）,general,verb,,Cambridge 2025 PDF
belt,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
Betty,word,A2 Flyers,yes,yes,must_write,必写（must_write）,people,mixed,name,Cambridge 2025 PDF
bicycle,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
bin,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
biscuit (US cookie),phrase,A2 Flyers,no,yes,tricky,易错（tricky）,food,phrase,,Cambridge 2025 PDF
bit,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
bored,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
borrow,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
bracelet,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
break,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
bridge,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
broken,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
brush,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
burn,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
business,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
businessman/woman,word,A2 Flyers,no,yes,tricky,易错（tricky）,people,mixed,,Cambridge 2025 PDF
butter,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
butterfly,word,A2 Flyers,no,yes,extended,扩展（extended）,nature_animals,mixed,,Cambridge 2025 PDF
by myself,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
by yourself,phrase,A2 Flyers,no,yes,tricky,易错（tricky）,general,phrase,,Cambridge 2025 PDF
calendar,word,A2 Flyers,no,no,extended,扩展（extended）,home_objects,mixed,,Cambridge 2025 PDF
camel,word,A2 Flyers,no,yes,core,核心（core）,nature_animals,mixed,,Cambridge 2025 PDF
camp,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
card,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
cartoon,word,A2 Flyers,no,no,extended,扩展（extended）,school_fun,mixed,,Cambridge 2025 PDF
castle,word,A2 Flyers,no,yes,core,核心（core）,places,mixed,,Cambridge 2025 PDF
cave,word,A2 Flyers,no,yes,core,核心（core）,places,mixed,,Cambridge 2025 PDF
century,word,A2 Flyers,no,no,extended,扩展（extended）,general,mixed,,Cambridge 2025 PDF
cereal,word,A2 Flyers,no,yes,core,核心（core）,food,mixed,,Cambridge 2025 PDF
channel,word,A2 Flyers,no,no,extended,扩展（extended）,school_fun,mixed,,Cambridge 2025 PDF
chat,word,A2 Flyers,no,yes,core,核心（core）,general,verb,,Cambridge 2025 PDF
cheap,word,A2 Flyers,no,yes,core,核心（core）,general,mixed,,Cambridge 2025 PDF
chemist('s),word,A2 Flyers,no,yes,tricky,易错（tricky）,places,mixed,,Cambridge 2025 PDF
chess,word,A2 Flyers,no,yes,core,核心（core）,school_fun,mixed,,Cambridge 2025 PDF
chopsticks,word,A2 Flyers,no,yes,tricky,易错（tricky）,general,mixed,,Cambridge 2025 PDF
club,word,A2 Flyers,no,yes,core,核心（core）,school_fun,mixed,,Cambridge 2025 PDF
collect,word,A2 Flyers,no,no,extended,扩展（extended）,general,verb,,Cambridge 2025 PDF
college,word,A2 Flyers,no,yes,extended,扩展（extended）,places,mixed,,Cambridge 2025 PDF
comb,word,A2 Flyers,no,yes,core,核心（core）,home_objects,mixed,,Cambridge 2025 PDF
