English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
bridge,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
brown,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
burger,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
bus,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
bus station,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
bus stop,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
but,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
butterfly,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
buy,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
by,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
bye,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
café,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
cake,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
calendar,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
camel,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
can,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
candy (UK sweet(s)),,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
car,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
car park,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
carrot,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
carry,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
castle,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
cat,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
cereal,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
chair,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
cheese,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
chemist('s),,,,,,易错（tricky）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
chicken,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
chips (US fries),,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
chocolate,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
cinema,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
city,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
class,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
classmate,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
